epoch,total_loss,pde_loss,obstacle_loss,bc_loss,lr
1,196549.46875,196401.9375,29.504898071289062,0.0,0.001
2,439214.53125,438982.4375,35.519615173339844,54.51547622680664,0.001
3,192379.6875,192191.40625,34.47251510620117,15.92000675201416,0.001
4,115237.3828125,115038.2734375,30.85851287841797,44.81924057006836,0.001
5,513001.34375,512830.34375,26.286224365234375,39.5672492980957,0.001
6,233550.40625,233352.609375,28.325347900390625,56.16932678222656,0.001
7,103903.0546875,103733.0625,31.700138092041016,11.488565444946289,0.001
8,71145.1640625,70940.8984375,32.39110565185547,42.31476593017578,0.001
9,128470.3984375,128274.0390625,34.32635498046875,24.72510528564453,0.001
10,192427.03125,192187.15625,35.46049118041992,62.57967758178711,0.001
11,64361.84375,64171.3515625,32.88974380493164,26.044158935546875,0.001
12,75756.8203125,75571.6484375,32.751319885253906,21.412551879882812,0.001
13,28075.4765625,27898.2890625,31.436323165893555,20.005985260009766,0.001
14,27824.642578125,27615.21875,31.226715087890625,53.29134750366211,0.001
15,52507.5,52351.75,29.960981369018555,5.945281982421875,0.001
16,91856.7578125,91682.78125,30.244333267211914,22.760242462158203,0.001
17,59184.72265625,59018.5,30.84210205078125,12.01191520690918,0.001
18,21797.4453125,21590.75390625,30.74695587158203,52.957969665527344,0.001
19,11738.359375,11556.1845703125,32.33573913574219,20.49627113342285,0.001
20,36530.859375,36306.7421875,32.850093841552734,59.866886138916016,0.001
21,51620.5625,51431.0546875,33.46356964111328,22.193004608154297,0.001
22,49377.13671875,49142.37890625,34.75332260131836,60.990325927734375,0.001
23,27415.48046875,27241.27734375,32.134552001953125,13.531107902526855,0.001
24,14101.7607421875,13926.1728515625,32.13213348388672,14.927047729492188,0.001
25,14350.56640625,14172.8154296875,31.27586555480957,21.372411727905273,0.001
26,30301.25,30086.91796875,31.19184112548828,58.37251281738281,0.001
27,38679.02734375,38504.34375,30.66132164001465,21.38043212890625,0.001
28,30629.634765625,30440.00390625,30.52882194519043,36.98543930053711,0.001
29,24838.36328125,24660.9296875,32.552799224853516,14.670771598815918,0.001
30,11484.05078125,11308.9619140625,31.60590362548828,17.059823989868164,0.001
31,24914.072265625,24707.69140625,33.2254524230957,40.25349044799805,0.001
32,34138.875,33940.51171875,34.08107376098633,27.958608627319336,0.001
33,32001.705078125,31804.1796875,33.46119689941406,30.21829605102539,0.001
34,21631.78515625,21448.77734375,32.11793899536133,22.41872787475586,0.001
35,12664.71875,12485.6240234375,31.208288192749023,23.054189682006836,0.001
36,22978.501953125,22791.322265625,31.612430572509766,29.117515563964844,0.001
37,28813.265625,28594.9375,31.534868240356445,60.65395736694336,0.001
38,19420.625,19244.435546875,30.38591766357422,24.260286331176758,0.001
39,21261.078125,21055.08984375,31.570188522338867,48.135799407958984,0.001
40,9460.380859375,9259.3662109375,32.410404205322266,38.96266555786133,0.001
41,13411.9482421875,13226.611328125,33.165489196777344,19.50940704345703,0.001
42,20840.08203125,20617.134765625,32.119102478027344,62.35091018676758,0.001
43,13319.5810546875,13118.48046875,33.26834487915039,34.758384704589844,0.001
44,10711.3251953125,10491.69921875,32.753013610839844,55.86166763305664,0.001
45,8097.736328125,7909.73046875,32.0577278137207,27.717296600341797,0.001
46,8233.330078125,8014.876953125,32.53731155395508,55.7668571472168,0.001
47,9549.869140625,9357.3837890625,32.41904830932617,30.389347076416016,0.001
48,12545.0244140625,12379.8828125,31.533935546875,7.471683502197266,0.001
49,11585.19921875,11406.84765625,32.24483871459961,17.126588821411133,0.001
50,7147.6455078125,6982.296875,32.70098876953125,1.8437154293060303,0.001
51,8265.3388671875,8103.8251953125,32.30278778076172,0.0,0.001
52,9765.7607421875,9586.99609375,32.26768112182617,17.425418853759766,0.001
53,12672.755859375,12484.1943359375,31.782840728759766,29.647014617919922,0.001
54,9924.60546875,9718.7421875,32.228206634521484,44.723140716552734,0.001
55,7970.3427734375,7782.0625,31.575048446655273,30.40520477294922,0.001
56,12323.1796875,12157.4794921875,30.779233932495117,11.804027557373047,0.001
57,6532.4365234375,6326.59912109375,31.56058120727539,48.03480529785156,0.001
58,5858.31787109375,5647.8271484375,31.48645782470703,53.058494567871094,0.001
59,7978.869140625,7783.4228515625,30.236995697021484,44.261234283447266,0.001
60,7106.55517578125,6885.1162109375,32.259857177734375,60.13962173461914,0.001
61,6117.3017578125,5919.517578125,32.06888198852539,37.44007110595703,0.001
62,7138.61474609375,6946.03564453125,31.376415252685547,35.69698715209961,0.001
63,6316.04052734375,6134.18798828125,32.04893493652344,21.608020782470703,0.001
64,7267.63330078125,7054.19189453125,32.35301208496094,51.67631912231445,0.001
65,6521.2021484375,6308.4375,31.215463638305664,56.687740325927734,0.001
66,6000.8505859375,5822.84716796875,31.55742645263672,20.21630859375,0.001
67,7949.3115234375,7765.2451171875,30.219831466674805,32.96715545654297,0.001
68,5954.04638671875,5760.58251953125,32.510948181152344,30.909082412719727,0.001
69,6652.6435546875,6435.3681640625,31.050832748413086,62.02109909057617,0.001
70,5464.19140625,5258.5673828125,31.025903701782227,50.49445724487305,0.001
71,7760.11865234375,7601.8876953125,30.954730987548828,3.457420825958252,0.001
72,6130.744140625,5959.69580078125,30.99405288696289,16.078174591064453,0.001
73,5535.54541015625,5315.0224609375,31.782920837402344,61.608604431152344,0.001
74,4660.8818359375,4469.84375,31.878110885620117,31.647674560546875,0.001
75,5519.322265625,5350.76708984375,30.274450302124023,17.183069229125977,0.001
76,5843.95166015625,5643.322265625,31.127685546875,44.990909576416016,0.001
77,4385.3203125,4194.8642578125,31.07839584350586,35.06413650512695,0.001
78,4996.90478515625,4804.076171875,31.88111686706543,33.4229736328125,0.001
79,4704.8701171875,4518.611328125,32.474403381347656,23.886516571044922,0.001
80,4953.42333984375,4766.4951171875,32.51685333251953,24.34365463256836,0.001
81,4809.7880859375,4650.52587890625,31.302175521850586,2.7516415119171143,0.001
82,4710.24951171875,4527.6484375,31.219585418701172,26.50274085998535,0.001
83,5536.0556640625,5382.9970703125,30.178775787353516,2.164625883102417,0.001
84,3770.939208984375,3552.218017578125,32.30733108520508,57.1845703125,0.001
85,5744.09521484375,5527.0,30.88506317138672,62.66976547241211,0.001
86,4619.50439453125,4463.28271484375,30.425752639770508,4.0926127433776855,0.001
87,3358.6767578125,3164.827880859375,32.23490905761719,32.67435073852539,0.001
88,4524.365234375,4312.57275390625,30.392070770263672,59.832210540771484,0.001
89,4171.6845703125,3996.97119140625,30.992380142211914,19.751277923583984,0.001
90,4572.67138671875,4390.16357421875,31.57492446899414,24.6331844329834,0.001
91,4115.00439453125,3917.88818359375,31.411834716796875,40.057098388671875,0.001
92,3888.67236328125,3685.99755859375,32.43394088745117,40.50517272949219,0.001
93,3393.81787109375,3205.017578125,34.06772994995117,18.461647033691406,0.001
94,4257.02783203125,4055.619140625,31.50695037841797,43.87401580810547,0.001
95,3689.109130859375,3465.873779296875,33.00051498413086,58.232723236083984,0.001
96,3439.111328125,3266.358154296875,32.417396545410156,10.666218757629395,0.001
97,6034.0498046875,5836.029296875,30.93114471435547,43.36478042602539,0.001
98,3796.11767578125,3592.945068359375,31.82741928100586,44.035369873046875,0.001
99,3894.880859375,3704.3544921875,32.521663665771484,27.918039321899414,0.001
100,3808.8837890625,3620.68115234375,31.35308265686035,31.437149047851562,0.001
101,3419.194091796875,3264.1806640625,31.002689361572266,0.0,0.001
102,2992.74462890625,2792.1845703125,32.14530563354492,39.833377838134766,0.001
103,3670.8623046875,3449.421630859375,32.706974029541016,57.90568542480469,0.001
104,3163.58740234375,2987.7841796875,31.253841400146484,19.533994674682617,0.001
105,3208.934326171875,2984.30810546875,33.23338317871094,58.459205627441406,0.001
106,3188.07080078125,3018.77490234375,31.68349838256836,10.878425598144531,0.001
107,3180.8359375,2998.65576171875,32.17816162109375,21.289306640625,0.001
108,3694.017822265625,3493.082763671875,32.67677688598633,37.55121994018555,0.001
109,3336.396728515625,3162.379150390625,32.045021057128906,13.792503356933594,0.001
110,3017.777587890625,2853.631591796875,31.713977813720703,5.5761566162109375,0.001
111,4731.39404296875,4554.13134765625,31.773414611816406,18.395599365234375,0.001
112,2672.225341796875,2469.301513671875,31.266727447509766,46.58998107910156,0.001
113,3164.238525390625,2978.512939453125,32.478355407714844,23.333662033081055,0.001
114,2980.753662109375,2780.57177734375,31.981016159057617,40.27674865722656,0.001
115,3198.782470703125,2970.385986328125,33.06328582763672,63.08015823364258,0.001
116,2818.2685546875,2634.4482421875,32.19939041137695,22.823322296142578,0.001
117,2448.638916015625,2229.19677734375,32.21870422363281,58.348697662353516,0.001
118,2485.930908203125,2272.993408203125,31.481279373168945,55.531005859375,0.001
119,2498.97314453125,2292.65478515625,32.28415298461914,44.8975944519043,0.001
120,3291.4306640625,3083.741455078125,33.02357482910156,42.5713005065918,0.001
121,2122.2353515625,1925.6961669921875,34.275875091552734,25.159942626953125,0.001
122,2946.534912109375,2747.7900390625,32.364295959472656,36.92340087890625,0.001
123,2679.703369140625,2490.15869140625,32.94282531738281,24.830610275268555,0.001
124,2472.47998046875,2268.541259765625,32.23101043701172,42.7835807800293,0.001
125,2308.87841796875,2134.916259765625,31.31053352355957,17.40940284729004,0.001
126,2742.307861328125,2562.76171875,31.204509735107422,23.5236873626709,0.001
127,2473.854736328125,2302.24609375,32.06575393676758,11.279749870300293,0.001
128,2110.541259765625,1941.533447265625,33.097328186035156,3.52115797996521,0.001
129,2337.1552734375,2130.828369140625,32.717105865478516,42.7414436340332,0.001
130,2133.983154296875,1942.5887451171875,32.36066818237305,29.591089248657227,0.001
131,2408.404541015625,2194.349609375,31.543235778808594,56.338539123535156,0.001
132,2218.35693359375,2036.615478515625,31.091463088989258,26.284175872802734,0.001
133,2048.878173828125,1852.71923828125,31.39236068725586,39.19710922241211,0.001
